policy,command_index,command,cmd_vx,cmd_vy,cmd_yaw,segment_s,fallen,score,vx_mae,vy_mae,yaw_rate_mae,vx_mean,vy_mean,yaw_rate_mean,roll_abs_mean,roll_abs_p95,pitch_abs_mean,pitch_abs_p95,min_height,raw_torque_abs_mean,raw_torque_abs_p99_max,torque_saturation_ratio,target_speed_abs_max,target_accel_abs_max,sagittal_diagonal_error_mean,mid_swing_clearance_p10,mid_swing_clearance_mean,mid_swing_clearance_p90,diagonal_foot_height_error_mean,contact_phase_mismatch_ratio,left_right_clearance_error_mean,dx,dy,yaw_delta
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,0,stand,0.0,0.0,0.0,5.0,0,3.13773203633251,0.03323114081115061,0.013937563916837935,0.08134505813514226,-0.03323114081115061,-0.0004989642947430242,-0.0007372413215948034,0.02332159531494146,0.03769067634192765,0.011499314396387272,0.019296800509500292,0.2823238331672324,1.3734208444808431,6.27537551576618,0.0,2.8965115547180176,91.33011627197266,0.07679226964712144,0.018142766268038776,0.026681468965704766,0.04247406604670513,0.007415662582658732,0.22875,0.007388778959266501,-0.1588379957555359,0.0016102234264577051,-0.004373630909714783
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,1,forward_low,0.1,0.0,0.0,5.0,0,3.537767047900208,0.047930278217300816,0.034964747461073815,0.10135909584547992,0.0562630803098714,0.0007893098294917572,0.0004402400979186022,0.021242497049120575,0.03571730959450731,0.01502442320579065,0.02682715417851134,0.2827652876371962,1.784827160665277,8.020046346163014,0.0,6.372940540313721,226.9545135498047,0.09065836794674396,0.018048768230385887,0.03302050417363062,0.05505982891784114,0.007407030366220296,0.24875,0.007363941654741484,0.2772613157978332,0.00399298836373977,0.008020416135903447
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,2,forward,0.4,0.0,0.0,5.0,0,4.2517311826039705,0.1133183552656713,0.06552604907593002,0.11615974511152977,0.2866816447343287,-0.00212856364736508,0.0033081259667022854,0.024082135265487394,0.03879081346797938,0.014789235626572972,0.026374738389361208,0.2791651063583467,2.043602991797318,8.477640861824963,0.0,6.7699432373046875,245.5297088623047,0.07507033169269561,0.018229248488676728,0.03148704635285505,0.05224542887261313,0.008210034971859384,0.15375,0.008148367774795308,1.434504838631219,0.011652160741247508,-0.0011861244865070562
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,3,backward,-0.1,0.0,0.0,5.0,0,3.329046061228409,0.0468397472001929,0.01891015522437793,0.06806894123578873,-0.14026374580796452,0.001430790327157124,-0.0007505530448963044,0.022928649841722926,0.03816808572028254,0.014935222742972234,0.02912123172181426,0.2788702341681303,2.075977874005413,8.654642589034724,0.0,6.2945427894592285,224.30392456054688,0.07521281834691763,0.017563209687598037,0.031981650671759496,0.0549075947188286,0.007549316838922437,0.25625,0.007512811948585352,-0.677326819120005,-0.0023288585815350177,-0.0019622030058156436
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,4,left,0.0,0.06,0.0,5.0,0,3.281945070219761,0.05028583644438533,0.02923897173296529,0.11125881439698268,-0.03775130360429753,0.044080230636149444,-0.003232553038560895,0.03594910065906022,0.06567113923770555,0.00943294784601955,0.021048912899546943,0.28127148170207206,1.8866303690974906,8.17682525343001,0.0,6.380116939544678,221.5612030029297,0.09690637342631817,0.017816222333374685,0.03213517936490761,0.050382683048599754,0.004364110345473197,0.26375,0.004103676886637424,-0.19661443515077026,0.22616853889460967,-0.005833238387971384
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,5,right,0.0,-0.06,0.0,5.0,0,3.256647163359325,0.04926841562164225,0.02820229065253485,0.11002572567644617,-0.03682272336936051,-0.044454983115008034,-0.0006046806925322312,0.03559508516020131,0.06566355469782197,0.009469240232284588,0.020375144306954918,0.28138801350788295,1.8882976613306468,8.214239165497096,0.0,6.395113468170166,222.79263305664062,0.0963649707660079,0.017810934131328168,0.03254447393504821,0.04948218755494334,0.004272587505919131,0.26625,0.004049436440017959,-0.18293982560575195,-0.21813212065860216,-8.300738777086269e-05
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,6,yaw_left,0.0,0.0,0.6,5.0,0,4.241796811428228,0.06745647604268683,0.061054705639754125,0.24953207662254429,-0.04804827311867971,-0.025879297851043752,0.5656988113041429,0.026588608427596565,0.061913864325849464,0.026642130968508447,0.06752059669589874,0.27756891660839644,2.123288329127503,8.834259479628999,0.0,6.537384033203125,224.7855224609375,0.08735844749957324,0.017807302815049678,0.032491899906272236,0.05065527390645958,0.006804267418996519,0.24625,0.006624691267181155,0.05830565197453208,-0.16262526712286246,2.7800896112427953
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,7,yaw_right,0.0,0.0,-0.6,5.0,0,3.457142116801327,0.04406505268701173,0.01898781328470215,0.2012317131574596,-0.04406505268701173,-0.0006694158046560491,-0.5495510154454682,0.02301445934930639,0.052245510352724144,0.01297151750402401,0.02571997027322805,0.27857252864887194,2.01289152820901,9.74543078751687,0.0,7.461130619049072,239.73867797851562,0.09654352240264416,0.017966999919630085,0.032345853913334534,0.051033232129242594,0.007031489217233904,0.25125,0.006999870834744425,-0.006553240837269936,-0.14397268258927848,-2.6648613740406333
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,8,diagonal,0.25,0.06,0.0,5.0,0,3.521527946181833,0.127789346793052,0.03387397372134968,0.08927771852200486,0.12221065320694798,0.03289446239071846,-0.004724392286112884,0.04326618988336061,0.06163294534403881,0.007063867185158397,0.0179305363061896,0.28208038801364405,1.6862374790565926,8.233508565996411,0.0,6.751203536987305,229.46624755859375,0.10194731961935759,0.018936006770081622,0.033131274293544684,0.04946300381885754,0.003160737266988307,0.2275,0.00303161811289962,0.611156551910125,0.1702568816887223,-0.1145320532558324
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,9,arc,0.25,0.0,0.5,5.0,0,3.5039614094200826,0.07565905215105545,0.03159550280889416,0.21798362086143455,0.17499169723789126,0.0113670966891065,0.45653371327179815,0.020606421541085898,0.04499656430317892,0.011217927124470976,0.019168297871501108,0.27799375349698063,1.9138960872537913,9.392335309471049,0.0,7.595700263977051,239.74566650390625,0.08489905714988709,0.018814814769965466,0.030984015799562697,0.0454980113444456,0.005143511471069471,0.19375,0.00499089730224561,0.3627205767410804,0.5872978020519473,2.12650465844423
/home/nszb/gym/mujoko/models/tilt_recovery_5530_candidates/model_6100.onnx,0,stand,0.0,0.0,0.0,5.0,0,2.9758605778999163,0.037323937355930925,0.02003946399699985,0.05574980399457243,-0.0348333690858054,0.000637465508624499,0.0043744147703990354,0.009443479602227266,0.015367488806992551,0.009763454134587686,0.017632610170499663,0.27970529671015565,1.2737133539307908,7.045403611642328,0.0,2.8342158794403076,81.03118133544922,0.08061468951404095,0.018208552285990706,0.02424164172203969,0.03589836940376681,0.0053243131417073306,0.2825,0.005295033422279527,-0.16189202599564478,0.004058638819943702,0.004493963360445756
