policy,scenario,kind,cmd_vx,direction,initial_roll_deg,fallen,peak_roll_deg,peak_roll_after_025_deg,recovery_time_s,symmetric_reentry_time_s,reverse_overshoot_deg,steady_vx,steady_vy_abs,action_max,action_element_over_095_ratio,action_cycle_over_095_ratio,torque_abs_max,settled_diagonal_height_error,settled_contact_mismatch_ratio,min_height
/home/nszb/gym/mujoko/models/tilt_recovery_5530_candidates/model_5550.onnx,roll_-3_vx0.12,roll,0.12,-1,-3.0,0,3.0347584354060957,3.0347584354060957,0.06,0.48,2.11897179131127,0.08431291413557938,0.030895874271960413,0.9264190793037415,0.0,0.0,8.255331462826621,0.005626978771344683,0.14666666666666667,0.2811298885085889
/home/nszb/gym/mujoko/models/tilt_recovery_5530_candidates/model_5550.onnx,roll_+3_vx0.12,roll,0.12,1,3.0,0,3.0154602806465363,2.10753562040353,0.06,0.06,1.9438798070161738,0.08304216558373774,0.03358957550977011,0.9288694262504578,0.0,0.0,8.036246850704682,0.005995169145143443,0.15,0.281090485233234
/home/nszb/gym/mujoko/models/tilt_recovery_5530_candidates/model_5550.onnx,roll_-5_vx0.12,roll,0.12,-1,-5.0,0,4.948882484806092,3.4777218139212445,0.06,0.48,2.0504746093652746,0.08424547642133082,0.031187609811687656,0.9263314604759216,0.0,0.0,8.259631402099433,0.005619203359338566,0.14333333333333334,0.2805417382756183
/home/nszb/gym/mujoko/models/tilt_recovery_5530_candidates/model_5550.onnx,roll_+5_vx0.12,roll,0.12,1,5.0,0,4.962576343908102,2.17440888530397,0.06,0.06,1.9243017249668763,0.08302250371143104,0.033589074515029176,0.9288110136985779,0.0,0.0,8.286435367023163,0.005995243869072949,0.15,0.28121314678072534
/home/nszb/gym/mujoko/models/tilt_recovery_5530_candidates/model_5550.onnx,roll_-8_vx0.12,roll,0.12,-1,-8.0,0,7.911078274414594,3.5620540469847137,0.1,0.48,2.098875218899944,0.08259452293748458,0.03438502567653907,0.9287726879119873,0.0,0.0,8.40498125302286,0.0061191785472905,0.15333333333333332,0.2798581562966146
/home/nszb/gym/mujoko/models/tilt_recovery_5530_candidates/model_5550.onnx,roll_+8_vx0.12,roll,0.12,1,8.0,0,7.9240146103722875,3.481627181223889,0.3,0.28,1.9311139891148132,0.0830227233989015,0.03354847634113355,0.9287790060043335,0.0,0.0,8.225325279319456,0.005993237789842625,0.15,0.2817491523818509
/home/nszb/gym/mujoko/models/tilt_recovery_5530_candidates/model_5550.onnx,push_-1_vx0.12,push,0.12,-1,-0.0,0,2.0767838160077203,1.5179951836567618,0.06000000000000005,0.06000000000000005,2.0767838160077203,0.09003749336062725,0.03823213071362326,0.9426135420799255,0.0,0.0,8.251511992845957,0.0036061386885385817,0.11,0.2810308410551745
/home/nszb/gym/mujoko/models/tilt_recovery_5530_candidates/model_5550.onnx,push_+1_vx0.12,push,0.12,1,0.0,0,1.79586056212927,1.79586056212927,0.06000000000000005,0.06000000000000005,1.79586056212927,0.08592663822602431,0.03256324202670916,0.9260938167572021,0.0,0.0,8.251511992845957,0.006045922649579573,0.14,0.2810308410551745
/home/nszb/gym/mujoko/models/tilt_recovery_5530_candidates/model_5550.onnx,roll_-3_vx0.20,roll,0.2,-1,-3.0,0,2.988294425669497,2.5930972752663703,0.06,0.06,2.422080055693446,0.15838819296857798,0.022202065900544993,0.9225717186927795,0.0,0.0,8.279501900605528,0.00260637886791005,0.13333333333333333,0.28072417540545486
/home/nszb/gym/mujoko/models/tilt_recovery_5530_candidates/model_5550.onnx,roll_+3_vx0.20,roll,0.2,1,3.0,0,3.011202504382118,2.1816956169488733,0.06,0.06,2.1054888580543554,0.164866215975509,0.04705862724197016,0.8906073570251465,0.0,0.0,8.174620822902185,0.005631574440413842,0.11666666666666667,0.2806086278639441
