policy,scenario,kind,cmd_vx,direction,initial_roll_deg,fallen,peak_roll_deg,peak_roll_after_025_deg,recovery_time_s,symmetric_reentry_time_s,reverse_overshoot_deg,steady_vx,steady_vy_abs,action_max,action_element_over_095_ratio,action_cycle_over_095_ratio,torque_abs_max,settled_diagonal_height_error,settled_contact_mismatch_ratio,min_height
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,roll_-3_vx0.12,roll,0.12,-1,-3.0,0,3.0611135551989364,3.0611135551989364,0.06,0.48,2.0808214314314166,0.07641211756299046,0.032413456433240444,0.9653696417808533,0.01222222222222222,0.14666666666666667,8.378315260643603,0.006214790707517151,0.15,0.2809701302072414
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,roll_+3_vx0.12,roll,0.12,1,3.0,0,3.0156872866244364,2.1976247975813403,0.06,0.06,1.9675833310448068,0.07587388899024759,0.03301943337830792,0.9598132967948914,0.011666666666666667,0.14,8.082929391389253,0.006335345731527302,0.155,0.28096583504688816
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,roll_-5_vx0.12,roll,0.12,-1,-5.0,0,4.9486167284213955,3.619693065615707,0.06,0.48,2.0909390847956377,0.07613690983731371,0.032349711229035245,0.9752128720283508,0.01361111111111111,0.15666666666666668,8.403076985902558,0.006235882586313879,0.15,0.2804799663615371
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,roll_+5_vx0.12,roll,0.12,1,5.0,0,4.962576551441046,2.5266650047242734,0.3,0.26,2.0395416122915653,0.07634868859022476,0.032472198675528814,0.9600745439529419,0.011666666666666667,0.14,8.55277159075742,0.006217908582849208,0.15,0.28144545127009496
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,roll_-8_vx0.12,roll,0.12,-1,-8.0,0,7.910701228623907,3.9542891952960515,0.1,0.48,2.1497427304014503,0.07403051367980491,0.035066368109168224,0.9874190092086792,0.016666666666666663,0.18666666666666668,8.490013306275866,0.006768973324150962,0.17,0.27972930053861256
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,roll_+8_vx0.12,roll,0.12,1,8.0,0,7.923902437441718,3.4268859389609934,0.3,0.28,2.135390150961983,0.0746017111963659,0.03441434516008856,0.9778493642807007,0.015,0.17333333333333334,8.377431503545012,0.006632198369849842,0.17,0.2816873811060148
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,push_-1_vx0.12,push,0.12,-1,-0.0,0,2.6111918018999796,2.6111918018999796,0.06000000000000005,0.06000000000000005,2.56938637484588,0.08213526905012485,0.04934091920306754,0.9744080901145935,0.0027777777777777775,0.03333333333333333,8.247663041501431,0.005506041412632881,0.135,0.2807567810702234
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,push_+1_vx0.12,push,0.12,1,0.0,0,2.6794579423308615,2.6794579423308615,0.06000000000000005,0.06000000000000005,2.6794579423308615,0.08133428405395902,0.05122327367580557,0.9577383399009705,0.0022222222222222222,0.02666666666666667,8.247663041501431,0.005795211406694997,0.115,0.2807567810702234
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,roll_-3_vx0.20,roll,0.2,-1,-3.0,0,2.987759511286841,2.859667311583643,0.06,0.06,2.58488249699728,0.14724746296765884,0.02678545295312449,0.9578893184661865,0.0011111111111111111,0.013333333333333334,8.362520248275622,0.004008266399053013,0.1275,0.28043909433053366
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,roll_+3_vx0.20,roll,0.2,1,3.0,0,3.011516835841387,2.334409650054789,0.06,0.06,2.2933214387193335,0.15850458149965654,0.049520602779162634,0.9536266922950745,0.0002777777777777778,0.0033333333333333335,8.254425114664265,0.0064803846967348465,0.1325,0.280752590096478
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,roll_-5_vx0.20,roll,0.2,-1,-5.0,0,4.941352630768013,3.4820543040222387,0.06,0.46,2.241200530605568,0.1472409983064463,0.026797104954020254,0.97223299741745,0.0025,0.02666666666666667,8.532588350914695,0.004009486261250531,0.1275,0.279796835123769
