policy,command_index,command,cmd_vx,cmd_vy,cmd_yaw,segment_s,fallen,score,vx_mae,vy_mae,yaw_rate_mae,vx_mean,vy_mean,yaw_rate_mean,roll_abs_mean,roll_abs_p95,pitch_abs_mean,pitch_abs_p95,min_height,raw_torque_abs_mean,raw_torque_abs_p99_max,torque_saturation_ratio,target_speed_abs_max,target_accel_abs_max,sagittal_diagonal_error_mean,mid_swing_clearance_p10,mid_swing_clearance_mean,mid_swing_clearance_p90,diagonal_foot_height_error_mean,contact_phase_mismatch_ratio,left_right_clearance_error_mean,dx,dy,yaw_delta
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,0,stand,0.0,0.0,0.0,15.0,0,3.1473511837898926,0.03364739855517947,0.014142459265600092,0.08290324624461828,-0.03364739855517947,-0.0007287502670797567,0.0008598273064482639,0.023225384397886645,0.03740801245526141,0.01150937118714823,0.019307030955460505,0.28234414483573844,1.3828196802872628,6.274630812315308,0.0,2.896514654159546,91.33011627197266,0.07678517300349015,0.018116801145566908,0.026582863995434126,0.042292704115694926,0.007371786109110183,0.23423076923076924,0.007344508777552493,-0.4960418658061058,-0.004753403062479536,0.0027085835830416446
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,1,forward_low,0.1,0.0,0.0,15.0,0,3.497084760978002,0.04706356719908348,0.03400157680384788,0.1009150405160977,0.05668529635472763,0.0002072277485448169,-0.00011943469022103347,0.02072699327749408,0.03377262119488108,0.014635715657927638,0.02599691658206032,0.28280401353526147,1.7845268900882838,8.01990020241812,0.0,6.369674205780029,226.8880615234375,0.09046347049566415,0.018046320483026068,0.0328824108943978,0.05497243188854036,0.007241047805369498,0.24461538461538462,0.007196013267700401,0.8501701217925675,0.003071215466324945,-0.00742124646774687
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,2,forward,0.4,0.0,0.0,15.0,0,4.25560651399429,0.11400082437008831,0.0650282917740757,0.11995710118360962,0.28599917562991173,-0.0008768141088391332,0.0007586369125713442,0.02425301774419892,0.03817965360638748,0.014917014927469262,0.02615461138168525,0.27916957927321334,2.052705368689781,8.683175455724607,0.0,6.792593002319336,246.34152221679688,0.07496168448374822,0.018373344483415373,0.03175810626677996,0.05338294138620139,0.008309589942241336,0.15115384615384617,0.008241997199282963,4.295647724675632,-0.02480923328032425,0.012922412826769362
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,3,backward,-0.1,0.0,0.0,15.0,0,3.3337222440032814,0.04649002852324572,0.018175100946627405,0.06837839219364299,-0.14011476989011498,0.0012508991950084226,0.00019326887675407504,0.022849120627738022,0.03709439903467355,0.01504828496756486,0.028076779986551996,0.27878810684583993,2.0816698873978456,8.635663370062526,0.0,6.313574314117432,225.92874145507812,0.07536375912336203,0.017439425371801293,0.031718472803891416,0.05491015896538898,0.007596742626884913,0.2603846153846154,0.007566985454366868,-2.0863077935330683,0.02141725460636916,-0.005986444044404482
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,4,left,0.0,0.06,0.0,15.0,0,3.3029349511330097,0.0504254754693858,0.02916981923800951,0.11258795273343612,-0.03818763091109747,0.044573020441194225,-0.0016816212175329618,0.03650972587049986,0.06701651595929431,0.009595453301886667,0.021051703524392493,0.28120197362048455,1.8910629902458012,8.195417016230762,0.0,6.31684684753418,221.6577606201172,0.0965462259375132,0.01771894054547227,0.03228268215471558,0.05063988860240088,0.004413052342231723,0.2703846153846154,0.004141053355193967,-0.5777616582339489,0.6676036854009387,-0.0010686665325050787
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,5,right,0.0,-0.06,0.0,15.0,0,3.2589557145699546,0.049195965085467606,0.028348465012716692,0.113720953843887,-0.03662723425463443,-0.043262185893601965,0.0018021030353787524,0.0348121520800436,0.06540316543927108,0.009306667724172725,0.019685153128197207,0.28139956471480065,1.8958925186859996,8.212212003456196,0.0,6.431895732879639,223.08946228027344,0.09656464721147831,0.01787429645333009,0.032233305631429725,0.049280444272866944,0.004252695507540232,0.27153846153846156,0.004011191904317291,-0.5560321027938517,-0.6509621137729692,0.005454979918277797
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,6,yaw_left,0.0,0.0,0.6,15.0,0,3.458757934397327,0.04416684781779549,0.019445770248032096,0.20276226016576934,-0.04416684781779549,7.441695495647743e-05,0.5951145401712744,0.02433505684521564,0.05807063590474756,0.012638383713291405,0.026552838877328424,0.2779643145863522,2.030320874310246,9.999345756217437,0.0,7.792264461517334,241.63575744628906,0.0969486412864465,0.017991361624384167,0.03220515745421882,0.052470320410792776,0.0068908051319500315,0.2526923076923077,0.006865816647760601,-0.038560719279429945,-0.13779826163063352,2.569650241428877
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,7,yaw_right,0.0,0.0,-0.6,15.0,0,3.4133204168420934,0.044264194696445956,0.018171623804717246,0.20034074425681989,-0.044264194696445956,8.5280701622243e-05,-0.5929016838535313,0.023826933907456903,0.054286091750608535,0.012192528300848462,0.024500165723491212,0.2782794396106968,2.02152345284604,10.027391168642048,0.0,7.745051383972168,239.73854064941406,0.09609155157437692,0.018011727894011696,0.03266945083322512,0.05113704681134345,0.006715795989937706,0.24846153846153846,0.006686972219457522,-0.026058503387475174,-0.14479453243809554,-2.439567167792111
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,8,diagonal,0.25,0.06,0.0,15.0,0,3.529200670139947,0.12766142500660538,0.03356112903250543,0.09034385805835715,0.12233857499339461,0.0331058342542772,-0.00043502322223746057,0.04398631943015809,0.062377724020053794,0.006840524123763383,0.016825792519217186,0.2820004726553049,1.6801133254446303,8.260176034406689,0.0,6.803405284881592,229.94427490234375,0.10229869765731005,0.01881308560504664,0.033007385886776666,0.049260620949068294,0.0031837671554935964,0.22807692307692307,0.003037975772454631,1.8389896877749516,0.4888993003960505,-0.14533401317524652
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,9,arc,0.25,0.0,0.5,15.0,0,3.653573054102871,0.07934248788932216,0.034080732066921665,0.23024044967957957,0.17117457040600023,0.012376307248576737,0.4887739191116149,0.022775699131516697,0.05197543875983824,0.01235741064386204,0.022535386133141308,0.27779502711880816,1.9344918400268174,9.46020339799039,0.0,7.630342483520508,240.04995727539062,0.08609257606359629,0.018420366783090045,0.030798993207804742,0.045919003909155404,0.0055685985940344815,0.1976923076923077,0.005440678396887233,0.33757597791462857,0.16258821867354373,0.7945373511656808
