policy,scenario,kind,cmd_vx,direction,initial_roll_deg,fallen,peak_roll_deg,peak_roll_after_025_deg,recovery_time_s,symmetric_reentry_time_s,reverse_overshoot_deg,steady_vx,steady_vy_abs,action_max,action_element_over_095_ratio,action_cycle_over_095_ratio,torque_abs_max,settled_diagonal_height_error,settled_contact_mismatch_ratio,min_height
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,roll_-3_vx0.12,roll,0.12,-1,-3.0,0,3.0611135551989364,3.0611135551989364,0.06,0.48,2.0808214314314166,0.0776981565010108,0.03219785458180801,0.9653696417808533,0.012333333333333332,0.148,8.378315260643603,0.006338911502529992,0.15333333333333332,0.2809701302072414
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,roll_+3_vx0.12,roll,0.12,1,3.0,0,3.0156872866244364,2.1976247975813403,0.06,0.06,1.9675833310448068,0.0771483690156398,0.032818997430537164,0.9598132967948914,0.011,0.132,8.082929391389253,0.006482198178831394,0.16666666666666666,0.28096583504688816
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,roll_-5_vx0.12,roll,0.12,-1,-5.0,0,4.9486167284213955,3.619693065615707,0.06,0.48,2.0909390847956377,0.07732734278922725,0.03211875904188851,0.9752128720283508,0.013999999999999999,0.16,8.403076985902558,0.006367727725809984,0.15333333333333332,0.2804799663615371
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,roll_+5_vx0.12,roll,0.12,1,5.0,0,4.962576551441046,2.5266650047242734,0.3,0.26,2.0395416122915653,0.07761377478073495,0.032275868454709034,0.9600745439529419,0.011666666666666665,0.14,8.55277159075742,0.00634303192170867,0.15333333333333332,0.28144545127009496
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,roll_-8_vx0.12,roll,0.12,-1,-8.0,0,7.910701228623907,3.9542891952960515,0.1,0.48,2.1497427304014503,0.07503973759788508,0.03484541869214602,0.9874190092086792,0.015666666666666666,0.172,8.490013306275866,0.006912572928711021,0.17,0.27972930053861256
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,roll_+8_vx0.12,roll,0.12,1,8.0,0,7.923902437441718,3.4268859389609934,0.3,0.28,2.135390150961983,0.07545570890930016,0.034625168150124896,0.9778493642807007,0.015333333333333332,0.176,8.377431503545012,0.006822486471218846,0.17,0.2816873811060148
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,push_-1_vx0.12,push,0.12,-1,-0.0,0,2.60826489613466,2.60826489613466,0.06000000000000005,0.06000000000000005,2.56938637484588,0.07972071131267755,0.05036568930825073,0.9744080901145935,0.003333333333333333,0.04,8.247663041501431,0.006169177919325617,0.14,0.2807567810702234
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,push_+1_vx0.12,push,0.12,1,0.0,0,2.6794579423308615,2.6794579423308615,0.06000000000000005,0.06000000000000005,2.6794579423308615,0.07904781393556469,0.0501696658062915,0.9577383399009705,0.0026666666666666666,0.032,8.247663041501431,0.006023213276214217,0.11,0.2807567810702234
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,roll_-3_vx0.20,roll,0.2,-1,-3.0,0,2.987759511286841,2.859667311583643,0.06,0.06,2.58488249699728,0.14817367202366408,0.02670743187880323,0.9578893184661865,0.0013333333333333333,0.016,8.362520248275622,0.004075625608270306,0.12666666666666668,0.28043909433053366
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,roll_+3_vx0.20,roll,0.2,1,3.0,0,3.011516835841387,2.2606525886539006,0.06,0.06,2.1032823036001975,0.1579886287148179,0.04873659860690279,0.9536266922950745,0.0003333333333333333,0.004,8.254425114664265,0.006532118382604426,0.12333333333333334,0.280752590096478
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,roll_-5_vx0.20,roll,0.2,-1,-5.0,0,4.941352630768013,3.4820543040222387,0.06,0.46,2.241200530605568,0.1481650566550064,0.02672295763869089,0.97223299741745,0.003,0.032,8.532588350914695,0.0040772528157082275,0.12666666666666668,0.279796835123769
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,roll_+5_vx0.20,roll,0.2,1,5.0,0,4.953626470030676,1.8199626524274197,0.08,0.06,1.7542901847311756,0.14741082413271853,0.028277225611826832,0.9539337754249573,0.0026666666666666666,0.028,9.212192230443474,0.004283461665707832,0.12666666666666668,0.28123213764536364
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,roll_-8_vx0.20,roll,0.2,-1,-8.0,0,7.90276256055375,4.186166452480931,0.1,0.48,1.7604653208398302,0.14817717461707924,0.026703266532273496,0.9831705093383789,0.004,0.036,8.47897116437863,0.004075476201456733,0.12666666666666668,0.2796613820161972
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,roll_+8_vx0.20,roll,0.2,1,8.0,0,7.914438741292944,2.5732847006068726,0.3,0.26,1.51138150446204,0.14890684382848113,0.024775789105070778,0.9793310761451721,0.003333333333333333,0.032,8.737711714277316,0.0038824315545017227,0.14666666666666667,0.28082330793981264
/home/nszb/gym/mujoko/models/fanfan_symmetric_transition_5530.onnx,push_-1_vx0.20,push,0.2,-1,-0.0,0,2.31332977296727,2.31332977296727,0.06000000000000005,0.06000000000000005,2.312339877893275,0.15672670102019334,0.04985839385615746,0.9787408709526062,0.0019999999999999996,0.024,8.653257175276329,0.007043320347908966,0.15,0.2805568529965616
