sample,host_request_ns,host_response_ns,phase,phase_time_s,target_rate_rad_s,rpc_ms,server_spi_ms,server_total_ms,cache_age_ms,board_a_seq,board_b_seq,m12_target_rad,m12_q_rad,m12_dq_rad_s,m12_torque_nm,m12_age_ms,m12_mode,m12_fault,m12_temperature_c,m13_target_rad,m13_q_rad,m13_dq_rad_s,m13_torque_nm,m13_age_ms,m13_mode,m13_fault,m13_temperature_c,m21_target_rad,m21_q_rad,m21_dq_rad_s,m21_torque_nm,m21_age_ms,m21_mode,m21_fault,m21_temperature_c,m22_target_rad,m22_q_rad,m22_dq_rad_s,m22_torque_nm,m22_age_ms,m22_mode,m22_fault,m22_temperature_c,m23_target_rad,m23_q_rad,m23_dq_rad_s,m23_torque_nm,m23_age_ms,m23_mode,m23_fault,m23_temperature_c,m31_target_rad,m31_q_rad,m31_dq_rad_s,m31_torque_nm,m31_age_ms,m31_mode,m31_fault,m31_temperature_c,m32_target_rad,m32_q_rad,m32_dq_rad_s,m32_torque_nm,m32_age_ms,m32_mode,m32_fault,m32_temperature_c,m33_target_rad,m33_q_rad,m33_dq_rad_s,m33_torque_nm,m33_age_ms,m33_mode,m33_fault,m33_temperature_c,m42_target_rad,m42_q_rad,m42_dq_rad_s,m42_torque_nm,m42_age_ms,m42_mode,m42_fault,m42_temperature_c,m43_target_rad,m43_q_rad,m43_dq_rad_s,m43_torque_nm,m43_age_ms,m43_mode,m43_fault,m43_temperature_c
0,18382649611268,18382705021080,hold,2.720000338740647e-06,0.0,55.409812,1.9347630004631355,47.41340299733565,0.04458427429199219,62620,62390,0.001,0.001,0.0,0.0,5,0,0,29.9,-0.001,-0.001,0.0,0.0,4,0,0,29.3,-0.805,-0.805,-0.09,0.0,3,0,0,30.6,-0.815,-0.815,-0.03,0.0,4,0,0,29.3,-0.004,-0.004,0.03,0.0,1,0,0,29.9,-0.002,-0.002,0.09,-0.01,2,2,0,29.9,0.002,0.002,0.04,0.0,7,0,0,29.9,-0.821,-0.821,-0.1,0.02,1,2,0,29.9,0.0,0.0,-0.03,0.0,7,0,0,29.3,-0.81,-0.81,0.04,0.0,2,0,0,29.9
1,18382705205663,18382713918740,hold,0.05562879600256565,0.0,8.713077,1.9545400027709547,2.4253429983218666,0.029802322387695312,62621,62391,0.001,0.001,-0.04,-0.26,9,2,0,29.9,-0.001,-0.001,0.09,-0.11,5,2,0,29.3,-0.805,-0.806,-0.15,-0.23,3,2,0,30.6,-0.815,-0.815,-0.14,-0.08,8,2,0,29.3,-0.004,-0.005,-0.1,0.25,1,2,0,29.9,-0.002,-0.002,-0.03,-0.02,4,2,0,29.9,0.002,0.002,0.11,0.01,5,2,0,29.9,-0.821,-0.821,0.02,0.14,8,2,0,29.9,0.0,0.0,0.06,0.09,7,2,0,29.3,-0.81,-0.81,0.09,-0.02,9,2,0,29.9
2,18382725272047,18382733387500,hold,0.07570382000267273,0.0,8.115453,1.441463999071857,2.0257430005585775,0.025033950805664062,62622,62392,0.001,0.001,-0.01,0.29,3,2,0,29.9,-0.001,-0.001,0.2,-0.02,9,2,0,29.3,-0.805,-0.806,-0.06,-0.01,9,2,0,30.6,-0.815,-0.815,0.0,0.0,2,2,0,29.3,-0.004,-0.004,-0.03,-0.22,9,2,0,29.9,-0.002,-0.002,0.04,0.2,9,2,0,29.9,0.002,0.002,0.04,0.08,9,2,0,29.9,-0.821,-0.821,-0.14,-0.03,2,2,0,29.9,0.0,0.0,-0.03,0.05,1,2,0,29.3,-0.81,-0.81,-0.14,0.04,8,2,0,29.9
3,18382745274364,18382753824778,hold,0.09570888900270802,0.0,8.550414,1.9803329996648245,2.436255002976395,0.024318695068359375,62623,62393,0.001,0.001,-0.02,-0.14,8,2,0,29.9,-0.001,-0.001,-0.06,-0.03,4,2,0,29.3,-0.805,-0.805,0.19,-0.19,2,2,0,30.6,-0.815,-0.815,-0.1,-0.09,7,2,0,29.3,-0.004,-0.004,0.0,0.13,0,2,0,29.9,-0.002,-0.002,-0.09,-0.06,3,2,0,29.9,0.002,0.001,-0.04,-0.22,4,2,0,29.9,-0.821,-0.821,-0.02,-0.04,7,2,0,29.9,0.0,0.0,0.02,-0.02,5,2,0,29.3,-0.81,-0.81,0.09,-0.14,13,2,0,29.9
4,18382765266217,18382773760373,hold,0.11570358999961172,0.0,8.494156,2.0794730007764883,2.5354589997732546,0.023365020751953125,62624,62394,0.001,0.001,-0.05,0.06,13,2,0,29.9,-0.001,-0.001,-0.04,-0.01,9,2,0,29.3,-0.805,-0.806,0.08,0.08,7,2,0,30.6,-0.815,-0.815,-0.07,-0.18,12,2,0,29.3,-0.004,-0.004,-0.1,-0.13,5,2,0,29.9,-0.002,-0.002,-0.04,0.08,8,2,0,29.9,0.002,0.001,0.03,0.11,9,2,0,29.9,-0.821,-0.821,0.03,-0.15,12,2,0,29.9,0.0,0.0,-0.06,0.0,10,2,0,29.3,-0.81,-0.81,-0.03,0.04,3,2,0,29.9
5,18382785264054,18382795073237,hold,0.13570094700116897,0.0,9.809183,2.6540869985183235,3.150522999931127,0.027179718017578125,62625,62395,0.001,0.001,-0.04,-0.12,3,2,0,29.9,-0.001,-0.001,-0.05,-0.22,14,2,0,29.3,-0.805,-0.806,-0.01,-0.33,12,2,0,30.6,-0.815,-0.815,-0.09,-0.16,2,2,0,29.3,-0.004,-0.005,-0.06,0.06,10,2,0,29.9,-0.002,-0.002,0.02,-0.08,13,2,0,29.9,0.002,0.002,0.08,0.11,14,2,0,29.9,-0.821,-0.821,0.02,-0.03,2,2,0,29.9,0.0,0.0,0.21,0.04,0,2,0,29.3,-0.81,-0.811,0.04,0.07,8,2,0,29.9
6,18382805262083,18382813717901,hold,0.15570083200145746,0.0,8.455818,1.9778050009335857,2.4486709990014788,0.025033950805664062,62626,62396,0.001,0.001,-0.1,-0.21,9,2,0,29.9,-0.001,-0.001,0.04,0.09,5,2,0,29.3,-0.805,-0.806,0.02,0.12,3,2,0,30.6,-0.815,-0.815,-0.18,-0.2,8,2,0,29.3,-0.004,-0.004,0.09,-0.02,1,2,0,29.9,-0.002,-0.002,0.06,-0.02,4,2,0,29.9,0.002,0.002,0.16,0.06,5,2,0,29.9,-0.821,-0.821,0.03,-0.05,8,2,0,29.9,0.0,0.0,0.06,-0.07,6,2,0,29.3,-0.81,-0.81,0.0,-0.03,14,2,0,29.9
7,18382825267216,18382833834174,hold,0.17570343700208468,0.0,8.566958,1.4579130001948215,2.0718890009447932,0.02384185791015625,62627,62397,0.001,0.001,0.02,-0.17,13,2,0,29.9,-0.001,-0.001,0.04,-0.08,9,2,0,29.3,-0.805,-0.806,-0.04,-0.15,7,2,0,30.6,-0.815,-0.815,-0.04,0.08,12,2,0,29.3,-0.004,-0.004,-0.08,0.2,5,2,0,29.9,-0.002,-0.002,-0.02,-0.18,8,2,0,29.9,0.002,0.002,0.18,-0.02,9,2,0,29.9,-0.821,-0.821,0.01,-0.01,12,2,0,29.9,0.0,0.0,-0.01,0.05,10,2,0,29.3,-0.81,-0.811,-0.11,-0.13,3,2,0,29.9
8,18382845264957,18382853680229,hold,0.19570165800178074,0.0,8.415272,1.4375600003404543,1.9875020007020794,0.023603439331054688,62628,62398,0.001,0.001,-0.06,0.03,3,2,0,29.9,-0.001,-0.001,0.0,-0.23,14,2,0,29.3,-0.805,-0.806,0.03,0.04,12,2,0,30.6,-0.815,-0.815,0.0,0.0,2,2,0,29.3,-0.004,-0.005,0.04,0.07,10,2,0,29.9,-0.002,-0.002,0.03,-0.06,13,2,0,29.9,0.002,0.001,0.13,0.08,14,2,0,29.9,-0.821,-0.821,0.11,-0.05,2,2,0,29.9,0.0,0.0,0.04,-0.16,0,2,0,29.3,-0.81,-0.81,0.2,-0.03,8,2,0,29.9
9,18382865264810,18382873385415,hold,0.21570154300206923,0.0,8.120605,1.4578480004274752,2.111442001478281,0.024557113647460938,62629,62399,0.001,0.001,-0.03,0.15,8,2,0,29.9,-0.001,-0.001,0.08,0.01,4,2,0,29.3,-0.805,-0.806,0.02,0.05,2,2,0,30.6,-0.815,-0.815,0.03,-0.1,7,2,0,29.3,-0.004,-0.004,0.03,-0.04,0,2,0,29.9,-0.002,-0.002,0.05,0.07,3,2,0,29.9,0.002,0.001,-0.09,0.06,4,2,0,29.9,-0.821,-0.821,-0.12,0.23,7,2,0,29.9,0.0,0.0,0.02,0.02,5,2,0,29.3,-0.81,-0.81,-0.05,-0.11,13,2,0,29.9
10,18382885276087,18382893910760,hold,0.23570715599998948,0.0,8.634673,2.0412320009199902,2.511393999157008,0.025510787963867188,62630,62400,0.001,0.001,0.0,-0.13,13,2,0,29.9,-0.001,-0.001,0.01,-0.19,9,2,0,29.3,-0.805,-0.806,-0.02,-0.02,7,2,0,30.6,-0.815,-0.815,-0.08,0.07,12,2,0,29.3,-0.004,-0.004,0.01,0.01,5,2,0,29.9,-0.002,-0.002,-0.11,-0.07,7,2,0,29.9,0.002,0.001,-0.11,-0.01,8,2,0,29.9,-0.821,-0.821,-0.04,-0.26,11,2,0,29.9,0.0,0.0,0.02,0.06,9,2,0,29.3,-0.81,-0.81,0.02,-0.01,2,2,0,29.9
11,18382905269636,18382913231707,hold,0.2557035530007852,0.0,7.962071,1.423542998963967,1.9936460012104362,0.0247955322265625,62631,62401,0.001,0.001,-0.09,0.07,3,2,0,29.9,-0.001,-0.001,0.08,0.03,14,2,0,29.3,-0.805,-0.806,-0.1,-0.05,12,2,0,30.6,-0.815,-0.815,0.07,-0.26,2,2,0,29.3,-0.004,-0.004,0.17,0.11,10,2,0,29.9,-0.002,-0.002,-0.04,0.05,13,2,0,29.9,0.002,0.001,0.16,-0.1,14,2,0,29.9,-0.821,-0.821,0.04,0.06,2,2,0,29.9,0.0,-0.001,-0.12,-0.15,0,2,0,29.3,-0.81,-0.81,0.04,-0.21,8,2,0,29.9
12,18382925267633,18382933762749,hold,0.275702254002681,0.0,8.495116,1.4993869990576059,2.0500640021055005,0.025272369384765625,62632,62402,0.001,0.001,-0.07,-0.09,8,2,0,29.9,-0.001,-0.001,0.06,-0.21,4,2,0,29.3,-0.805,-0.806,-0.16,-0.09,2,2,0,30.6,-0.815,-0.815,0.03,0.16,7,2,0,29.3,-0.004,-0.005,-0.05,-0.08,0,2,0,29.9,-0.002,-0.002,-0.1,0.25,2,2,0,29.9,0.002,0.002,-0.04,0.13,3,2,0,29.9,-0.821,-0.822,-0.12,0.1,5,2,0,29.9,0.0,0.0,-0.1,-0.02,4,2,0,29.3,-0.81,-0.81,-0.09,-0.15,12,2,0,29.9
13,18382945268542,18382955246180,hold,0.29570290700212354,0.0,9.977638,3.1697879967396148,3.6692959984065965,0.030040740966796875,62633,62403,0.001,0.001,0.02,0.01,13,2,0,29.9,-0.001,-0.001,0.04,-0.15,8,2,0,29.3,-0.805,-0.806,-0.05,-0.04,6,2,0,30.6,-0.815,-0.815,-0.02,-0.02,12,2,0,29.3,-0.004,-0.004,0.0,0.0,5,2,0,29.9,-0.002,-0.002,-0.22,-0.08,8,2,0,29.9,0.002,0.001,0.02,-0.08,9,2,0,29.9,-0.821,-0.821,0.03,0.05,11,2,0,29.9,0.0,0.0,-0.08,0.11,10,2,0,29.3,-0.81,-0.81,-0.15,-0.02,3,2,0,29.9
14,18382965262219,18382974099204,hold,0.3156993680022424,0.0,8.836985,2.142515000741696,2.6379910013929475,0.029087066650390625,62634,62404,0.001,0.001,-0.12,0.13,4,2,0,29.9,-0.001,-0.001,0.01,-0.15,14,2,0,29.3,-0.805,-0.806,0.06,-0.07,12,2,0,30.6,-0.815,-0.815,-0.01,0.04,3,2,0,29.3,-0.004,-0.004,0.03,-0.02,11,2,0,29.9,-0.002,-0.002,0.0,-0.18,14,2,0,29.9,0.002,0.002,0.05,0.03,0,2,0,29.9,-0.821,-0.822,-0.1,-0.13,2,2,0,29.9,0.0,0.0,-0.05,0.07,1,2,0,29.3,-0.81,-0.81,-0.01,0.2,9,2,0,29.9
15,18382985267320,18382993218158,hold,0.3357020690018544,0.0,7.950838,1.3870620023226365,1.9827970027108677,0.026226043701171875,62635,62405,0.001,0.001,0.05,0.08,8,2,0,29.9,-0.001,-0.001,0.15,-0.07,3,2,0,29.3,-0.805,-0.806,0.15,-0.07,1,2,0,30.6,-0.815,-0.815,0.01,0.07,7,2,0,29.3,-0.004,-0.005,-0.03,0.16,0,2,0,29.9,-0.002,-0.002,-0.06,0.03,3,2,0,29.9,0.002,0.001,-0.04,-0.09,4,2,0,29.9,-0.821,-0.822,-0.13,-0.04,6,2,0,29.9,0.0,0.0,-0.01,-0.18,5,2,0,29.3,-0.81,-0.81,0.13,-0.04,13,2,0,29.9
16,18383005284038,18383013850868,hold,0.35571520200028317,0.0,8.56683,1.9793739993474446,2.4365110002690926,0.026226043701171875,62636,62406,0.001,0.001,0.0,0.12,13,2,0,29.9,-0.001,-0.001,-0.15,0.13,8,2,0,29.3,-0.805,-0.806,-0.06,0.11,6,2,0,30.6,-0.815,-0.815,-0.01,0.02,12,2,0,29.3,-0.004,-0.004,-0.02,0.01,5,2,0,29.9,-0.002,-0.002,-0.13,-0.05,6,2,0,29.9,0.002,0.001,0.03,0.0,8,2,0,29.9,-0.821,-0.822,-0.04,0.14,10,2,0,29.9,0.0,0.0,0.02,-0.01,9,2,0,29.3,-0.81,-0.81,-0.09,0.04,2,2,0,29.9
17,18383025266098,18383033843809,hold,0.37570059100107756,0.0,8.577711,2.1274440005072393,2.582724999228958,0.026226043701171875,62637,62407,0.001,0.001,0.0,-0.03,3,2,0,29.9,-0.001,-0.001,0.14,0.11,13,2,0,29.3,-0.805,-0.806,-0.06,0.23,11,2,0,30.6,-0.815,-0.815,0.07,-0.06,2,2,0,29.3,-0.004,-0.005,-0.04,0.01,10,2,0,29.9,-0.002,-0.002,-0.15,-0.04,12,2,0,29.9,0.002,0.002,0.0,0.22,14,2,0,29.9,-0.821,-0.821,0.01,0.1,1,2,0,29.9,0.0,0.0,-0.07,-0.09,0,2,0,29.3,-0.81,-0.81,-0.02,-0.03,8,2,0,29.9
18,18383045264927,18383053669927,hold,0.3957031320023816,0.0,8.405,1.9936460012104362,2.449086998240091,0.02574920654296875,62638,62408,0.001,0.001,0.09,-0.12,8,2,0,29.9,-0.001,-0.001,0.15,0.2,3,2,0,29.3,-0.805,-0.805,0.17,0.04,1,2,0,30.6,-0.815,-0.815,0.03,0.13,7,2,0,29.3,-0.004,-0.005,-0.03,-0.06,15,2,0,29.9,-0.002,-0.002,-0.01,-0.26,2,2,0,29.9,0.002,0.002,-0.1,-0.12,4,2,0,29.9,-0.821,-0.822,-0.06,0.15,6,2,0,29.9,0.0,0.0,0.07,-0.04,5,2,0,29.3,-0.81,-0.81,-0.05,-0.04,13,2,0,29.9
19,18383065263788,18383074256203,hold,0.4157009049995395,0.0,8.992415,2.1215230008237995,2.5762279983609915,0.0247955322265625,62639,62409,0.001,0.001,0.0,0.19,13,2,0,29.9,-0.001,-0.001,-0.12,0.05,8,2,0,29.3,-0.805,-0.805,0.09,0.24,6,2,0,30.6,-0.815,-0.815,0.14,0.14,12,2,0,29.3,-0.004,-0.004,0.16,-0.01,5,2,0,29.9,-0.002,-0.002,0.0,-0.04,7,2,0,29.9,0.002,0.002,-0.02,0.0,9,2,0,29.9,-0.821,-0.821,0.07,0.01,11,2,0,29.9,0.0,0.0,-0.02,0.0,10,2,0,29.3,-0.81,-0.81,-0.03,-0.09,3,2,0,29.9
20,18383085262937,18383094058640,hold,0.4356994459994894,0.0,8.795703,1.9030500006920192,2.3590359996887855,0.026464462280273438,62640,62410,0.001,0.001,0.08,-0.01,3,2,0,29.9,-0.001,-0.001,-0.07,-0.06,13,2,0,29.3,-0.805,-0.806,0.01,0.11,11,2,0,30.6,-0.815,-0.815,-0.02,-0.16,1,2,0,29.3,-0.004,-0.005,-0.12,-0.13,10,2,0,29.9,-0.002,-0.002,-0.04,-0.06,13,2,0,29.9,0.002,0.001,-0.01,0.02,15,2,0,29.9,-0.821,-0.821,0.04,-0.02,2,2,0,29.9,0.0,0.0,0.06,0.0,1,2,0,29.3,-0.81,-0.81,-0.07,0.11,9,2,0,29.9
21,18383105262598,18383113079223,hold,0.455699939000624,0.0,7.816625,1.3804059999529272,1.8317829999432433,0.025987625122070312,62641,62411,0.001,0.001,-0.12,-0.15,8,2,0,29.9,-0.001,-0.001,-0.04,-0.02,3,2,0,29.3,-0.805,-0.806,0.0,-0.03,1,2,0,30.6,-0.815,-0.815,0.11,0.2,6,2,0,29.3,-0.004,-0.004,0.03,-0.14,0,2,0,29.9,-0.002,-0.002,-0.1,-0.02,2,2,0,29.9,0.002,0.001,0.01,-0.14,4,2,0,29.9,-0.821,-0.822,-0.02,-0.15,6,2,0,29.9,0.0,0.0,0.0,0.12,5,2,0,29.3,-0.81,-0.81,0.07,0.06,13,2,0,29.9
22,18383125277107,18383133436018,hold,0.4757114720014215,0.0,8.158911,1.588381997862598,2.039183000306366,0.025987625122070312,62642,62412,0.001,0.001,-0.08,-0.08,13,2,0,29.9,-0.001,-0.001,0.06,-0.09,8,2,0,29.3,-0.805,-0.806,-0.05,-0.09,6,2,0,30.6,-0.815,-0.815,0.02,-0.02,11,2,0,29.3,-0.004,-0.005,-0.13,0.1,5,2,0,29.9,-0.002,-0.002,0.1,0.06,6,2,0,29.9,0.002,0.002,0.04,0.1,8,2,0,29.9,-0.821,-0.821,0.11,0.08,10,2,0,29.9,0.0,0.0,0.01,0.11,9,2,0,29.3,-0.81,-0.81,-0.18,-0.08,2,2,0,29.9
23,18383145262752,18383153179957,hold,0.4956990050013701,0.0,7.917205,1.4885380005580373,1.9378990000404883,0.026941299438476562,62643,62413,0.001,0.001,-0.15,0.11,3,2,0,29.9,-0.001,-0.001,0.02,0.07,13,2,0,29.3,-0.805,-0.805,-0.06,0.28,11,2,0,30.6,-0.815,-0.815,-0.09,0.01,1,2,0,29.3,-0.004,-0.004,0.01,-0.02,10,2,0,29.9,-0.002,-0.002,0.02,-0.01,12,2,0,29.9,0.002,0.002,0.14,0.13,14,2,0,29.9,-0.821,-0.822,-0.09,-0.02,1,2,0,29.9,0.0,0.0,-0.05,-0.01,15,2,0,29.3,-0.81,-0.81,0.06,0.01,8,2,0,29.9
24,18383165276109,18383174396786,hold,0.5157050340021669,0.0,9.120677,2.220598002168117,2.763884000160033,0.04291534423828125,62644,62414,0.001,0.001,-0.06,0.25,8,2,0,29.9,-0.001,-0.001,-0.11,0.07,3,2,0,29.3,-0.805,-0.805,-0.02,0.02,1,2,0,30.6,-0.815,-0.815,0.09,-0.11,6,2,0,29.3,-0.004,-0.004,0.12,0.02,15,2,0,29.9,-0.002,-0.002,0.01,0.13,2,2,0,29.9,0.002,0.002,0.1,-0.19,4,2,0,29.9,-0.821,-0.822,-0.11,0.1,6,2,0,29.9,0.0,0.0,-0.01,-0.02,5,2,0,29.3,-0.81,-0.81,0.02,-0.09,13,2,0,29.9
25,18383185264058,18383194333404,hold,0.5357004390025395,0.0,9.069346,2.569956999650458,3.052374999242602,0.034332275390625,62645,62415,0.001,0.001,-0.04,0.0,13,2,0,29.9,-0.001,-0.001,0.0,-0.04,8,2,0,29.3,-0.805,-0.805,0.03,-0.15,6,2,0,30.6,-0.815,-0.815,0.16,-0.13,11,2,0,29.3,-0.004,-0.004,0.03,-0.1,5,2,0,29.9,-0.002,-0.002,0.05,-0.2,8,2,0,29.9,0.002,0.002,-0.05,-0.07,10,2,0,29.9,-0.821,-0.821,0.03,-0.02,12,2,0,29.9,0.0,0.0,0.04,-0.09,11,2,0,29.3,-0.81,-0.811,-0.06,-0.01,4,2,0,29.9
26,18383205266983,18383213649838,hold,0.5557047399997828,0.0,8.382855,1.940586997079663,2.4110379999910947,0.03170967102050781,62646,62416,0.001,0.001,0.07,0.2,3,2,0,29.9,-0.001,-0.001,-0.2,-0.28,13,2,0,29.3,-0.805,-0.805,0.01,-0.04,11,2,0,30.6,-0.815,-0.815,-0.09,-0.03,1,2,0,29.3,-0.004,-0.004,0.11,0.01,10,2,0,29.9,-0.002,-0.002,0.0,-0.15,12,2,0,29.9,0.002,0.002,0.01,0.32,14,2,0,29.9,-0.821,-0.821,-0.07,-0.11,1,2,0,29.9,0.0,0.0,0.07,0.05,0,2,0,29.3,-0.81,-0.81,0.16,-0.29,7,2,0,29.9
27,18383225266420,18383233789057,hold,0.5757044970014249,0.0,8.522637,2.0984180009691045,2.563395999459317,0.030040740966796875,62647,62417,0.001,0.001,-0.06,-0.08,8,2,0,29.9,-0.001,-0.001,0.06,0.12,3,2,0,29.3,-0.805,-0.805,0.22,-0.07,1,2,0,30.6,-0.815,-0.815,-0.02,0.04,6,2,0,29.3,-0.004,-0.004,-0.03,-0.13,15,2,0,29.9,-0.002,-0.002,-0.06,-0.04,2,2,0,29.9,0.002,0.001,-0.12,-0.09,4,2,0,29.9,-0.821,-0.821,-0.01,-0.09,6,2,0,29.9,0.0,0.0,0.12,0.0,5,2,0,29.3,-0.81,-0.81,-0.05,0.01,12,2,0,29.9
28,18383245267041,18383254165789,hold,0.5957028140001057,0.0,8.898748,1.9968140004493762,2.4621760021545924,0.028848648071289062,62648,62418,0.001,0.001,0.05,-0.05,13,2,0,29.9,-0.001,-0.001,-0.05,0.15,8,2,0,29.3,-0.805,-0.805,-0.02,0.04,6,2,0,30.6,-0.815,-0.815,-0.05,-0.23,11,2,0,29.3,-0.004,-0.004,0.09,-0.01,5,2,0,29.9,-0.002,-0.002,-0.04,0.04,7,2,0,29.9,0.002,0.002,0.15,-0.02,9,2,0,29.9,-0.821,-0.821,-0.06,-0.04,11,2,0,29.9,0.0,0.0,-0.07,0.02,10,2,0,29.3,-0.81,-0.811,-0.11,-0.01,2,2,0,29.9
29,18383265263726,18383274285038,hold,0.6157003949992941,0.0,9.021312,2.117266001732787,2.5802609998208936,0.029325485229492188,62649,62419,0.001,0.001,0.04,0.06,3,2,0,29.9,-0.001,-0.001,0.02,-0.03,13,2,0,29.3,-0.805,-0.805,0.08,0.05,11,2,0,30.6,-0.815,-0.815,-0.01,0.08,1,2,0,29.3,-0.004,-0.004,0.03,0.08,10,2,0,29.9,-0.002,-0.002,0.04,0.15,12,2,0,29.9,0.002,0.001,-0.04,0.05,14,2,0,29.9,-0.821,-0.822,0.08,0.04,1,2,0,29.9,0.0,0.0,-0.11,-0.04,0,2,0,29.3,-0.81,-0.81,0.0,0.16,7,2,0,29.9
30,18383285264539,18383293642210,hold,0.635703256000852,0.0,8.377671,1.4021030001458712,1.9778380010393448,0.029325485229492188,62650,62420,0.001,0.001,-0.03,0.13,8,2,0,29.9,-0.001,-0.001,0.05,0.15,3,2,0,29.3,-0.805,-0.806,0.09,0.14,1,2,0,30.6,-0.815,-0.815,0.03,0.0,6,2,0,29.3,-0.004,-0.005,-0.12,-0.03,0,2,0,29.9,-0.002,-0.002,-0.06,-0.04,3,2,0,29.9,0.002,0.001,0.1,0.3,5,2,0,29.9,-0.821,-0.822,-0.09,0.0,7,2,0,29.9,0.0,0.0,-0.02,0.06,6,2,0,29.3,-0.81,-0.81,0.1,-0.01,13,2,0,29.9
31,18383305264776,18383313739923,hold,0.6557001330002095,0.0,8.475147,2.0036299974890426,2.4574080016463995,0.027418136596679688,62651,62421,0.001,0.001,-0.02,-0.11,13,2,0,29.9,-0.001,-0.001,-0.01,0.06,8,2,0,29.3,-0.805,-0.806,0.02,0.05,6,2,0,30.6,-0.815,-0.815,-0.16,-0.02,11,2,0,29.3,-0.004,-0.004,0.04,0.1,5,2,0,29.9,-0.002,-0.002,0.1,0.4,7,2,0,29.9,0.002,0.002,0.02,-0.22,9,2,0,29.9,-0.821,-0.821,0.11,-0.07,11,2,0,29.9,0.0,0.0,0.0,-0.09,10,2,0,29.3,-0.81,-0.81,-0.12,0.0,2,2,0,29.9
32,18383325263893,18383333455157,hold,0.6757007220003288,0.0,8.191264,1.7929659989022184,2.2438629966927692,0.028133392333984375,62652,62422,0.001,0.001,-0.09,-0.23,3,2,0,29.9,-0.001,-0.001,-0.04,0.15,13,2,0,29.3,-0.805,-0.805,0.19,-0.08,11,2,0,30.6,-0.815,-0.815,0.05,-0.15,1,2,0,29.3,-0.004,-0.005,-0.06,0.03,10,2,0,29.9,-0.002,-0.002,0.04,0.01,12,2,0,29.9,0.002,0.002,0.04,-0.04,14,2,0,29.9,-0.821,-0.821,-0.04,-0.07,1,2,0,29.9,0.0,0.0,0.11,-0.04,15,2,0,29.3,-0.81,-0.81,-0.1,-0.19,7,2,0,29.9
33,18383345268578,18383353428033,hold,0.6957029750010406,0.0,8.159455,1.7871419986477122,2.2390320009435527,0.0286102294921875,62653,62423,0.001,0.001,-0.06,-0.11,8,2,0,29.9,-0.001,-0.001,0.02,-0.06,3,2,0,29.3,-0.805,-0.806,0.04,0.01,1,2,0,30.6,-0.815,-0.815,0.01,0.05,6,2,0,29.3,-0.004,-0.005,-0.1,-0.08,15,2,0,29.9,-0.002,-0.002,0.03,-0.32,2,2,0,29.9,0.002,0.002,0.0,0.12,4,2,0,29.9,-0.821,-0.821,-0.02,-0.14,6,2,0,29.9,0.0,0.0,-0.06,-0.08,5,2,0,29.3,-0.81,-0.81,-0.08,-0.02,12,2,0,29.9
34,18383365281360,18383373773947,hold,0.7157120770025358,0.0,8.492587,1.5343320010288153,2.1590920005110092,0.03337860107421875,62654,62424,0.001,0.001,0.09,0.19,12,2,0,29.9,-0.001,-0.001,-0.02,-0.14,8,2,0,29.3,-0.805,-0.806,-0.18,-0.01,6,2,0,30.6,-0.815,-0.815,0.15,0.15,11,2,0,29.3,-0.004,-0.004,0.13,-0.08,5,2,0,29.9,-0.002,-0.002,-0.06,-0.02,7,2,0,29.9,0.002,0.002,0.03,0.13,9,2,0,29.9,-0.821,-0.822,0.09,-0.01,11,2,0,29.9,0.0,0.0,0.02,-0.02,10,2,0,29.3,-0.81,-0.81,-0.08,0.2,2,2,0,29.9
35,18383385278877,18383393759048,hold,0.7357107770003495,0.0,8.480171,1.4573369990102947,2.036048001173185,0.030517578125,62655,62425,0.001,0.001,-0.03,0.07,2,2,0,29.9,-0.001,-0.001,0.09,0.09,13,2,0,29.3,-0.805,-0.805,0.04,-0.01,11,2,0,30.6,-0.815,-0.815,0.01,0.06,1,2,0,29.3,-0.004,-0.004,0.03,0.08,10,2,0,29.9,-0.002,-0.002,0.06,0.02,12,2,0,29.9,0.002,0.002,-0.04,0.04,14,2,0,29.9,-0.821,-0.821,-0.1,-0.24,1,2,0,29.9,0.0,0.0,0.07,-0.17,15,2,0,29.3,-0.81,-0.81,0.17,0.0,7,2,0,29.9
36,18383405265225,18383413522508,hold,0.7557035900026676,0.0,8.257283,1.8278480019944254,2.285881000716472,0.030517578125,62656,62426,0.001,0.001,0.08,0.27,7,2,0,29.9,-0.001,-0.001,0.09,0.06,3,2,0,29.3,-0.805,-0.806,0.07,-0.08,1,2,0,30.6,-0.815,-0.815,-0.04,-0.09,6,2,0,29.3,-0.004,-0.004,-0.07,0.11,0,2,0,29.9,-0.002,-0.002,0.13,0.0,2,2,0,29.9,0.002,0.001,-0.07,-0.18,4,2,0,29.9,-0.821,-0.822,-0.08,-0.09,6,2,0,29.9,0.0,0.0,-0.02,-0.06,5,2,0,29.3,-0.81,-0.811,-0.09,0.1,12,2,0,29.9
